USGS Water name,Common water Name,Section number 2,County,Survey date,Survey Record,Upstream Survey Latitude,Dowstream Survey Latitude,Upstream Survey Longitude,Downstream Survey Longitude,Section length (ft),Average wetted width (ft),Average water depth (ft),Air temperature (F),Water temperature (C),Flatwater %,Pool %,Riffle %,Water clarity (ft),Survey direction,Weather,Family,Order,Genus,Species,Sub-species,Strain,Fish name,Estimated density (fish/mi),Survey notes,Water Latitude,Water Longitude
Sacramento River,Upper Sacramento River at Dunsmuir City Park,UPP-107,Shasta,8/4/2008,2371,41.1748833,41.174033,122.2877,122.293665,1096,99.7,1.2,53.6,12,85,0,15,6,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",1624,,41.225723,-122.27709
Sacramento River,Upper Sacramento River at Dunsmuir City Park,UPP-107,Shasta,8/4/2008,2371,41.1748833,41.174033,122.2877,122.293665,1096,99.7,1.2,53.6,12,85,0,15,6,Downstream,clear sunny,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,67,,41.225723,-122.27709
Sacramento River,Upper Sacramento River at Dunsmuir City Park,UPP-107L,Shasta,8/4/2008,2371,41.1748,44.1720.33,-122.292717,122.29635,395,69,2.2,66.2,12,0,100,0,8,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",7379,,41.225723,-122.27709
Kern River,Kern River,KER-109,Tulare,10/6/2009,2375,36.13498,36.13487,-118.42547,-118.42621,224,70.3,1.7,66.2,7,0,0,100,8,Downstream,clear and windy,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,gilberti,Kern River,"trout, rainbow, Kern River",118,,36.03052,-118.4671
Kern River,Kern River,KER-109,Tulare,10/6/2009,2375,36.13498,36.13487,-118.42547,-118.42621,224,70.3,1.7,66.2,7,0,0,100,8,Downstream,clear and windy,Catostomidae,Cypriniformes,Catostomus,occidentalis,,Sacramento,"sucker, Sacramento",47,,36.03052,-118.4671
Kern River,Kern River,KER-209,Tulare,10/6/2009,2375,36.13493,36.13481,117.42795,118.42899,290,56.1,1.8,73.4,7,100,0,0,10,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,gilberti,Kern River,"trout, rainbow, Kern River",146,,36.03052,-118.4671
Kern River,Kern River,KER-309,Tulare,10/6/2009,2375,36.13476,36.13437,118.42944,118.43016,241,56.4,4.5,93.2,8,0,100,0,15,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,gilberti,Kern River,"trout, rainbow, Kern River",1446,,36.03052,-118.4671
Kern River,Kern River,KER-309,Tulare,10/6/2009,2375,36.13476,36.13437,118.42944,118.43016,241,56.4,4.5,93.2,8,0,100,0,15,Downstream,clear sunny,Catostomidae,Cypriniformes,Catostomus,occidentalis,,Sacramento,"sucker, Sacramento",548,,36.03052,-118.4671
Kern River,Kern River,KER-409,Tulare,10/6/2009,2375,36.13434,36.13393,118.43146,118.43289,433.5,68.2,2.1,,8,100,0,0,10,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,gilberti,Kern River,"trout, rainbow, Kern River",61,,36.03052,-118.4671
Sacramento River,Upper Sacramento River at State Park,UPP-207L,Shasta,8/4/2008,2382,41.13435,41.13373,122.32043,122.31963,333,67,2.1,82.4,18,100,0,0,6+,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",9117,,41.16413,-122.29422
Sacramento River,Upper Sacramento River at State Park,UPP-207L,Shasta,8/4/2008,2382,41.13435,41.13373,122.32043,122.31963,333,67,2.1,82.4,18,100,0,0,6+,Downstream,clear sunny,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,16,,41.16413,-122.29422
Sacramento River,Upper Sacramento River at State Park,UPP-207U,Shasta,8/4/2008,2382,41.13722,41.13472,122.31915,122.3206,1066,70.3,1.5,82.4,18,100,0,0,10+,Downstream,clear sunny,Cyprinidae,Cypriniformes,Ptychocheilus,grandis,,Sacramento,"minnow, pikeminnow, Sacramento",495,,41.16413,-122.29422
Sacramento River,Upper Sacramento River at State Park,UPP-207U,Shasta,8/4/2008,2382,41.13722,41.13472,122.31915,122.3206,1066,70.3,1.5,82.4,18,100,0,0,10+,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",5473,,41.16413,-122.29422
Sacramento River,Upper Sacramento River at State Park,UPP-207U,Shasta,8/4/2008,2382,41.13722,41.13472,122.31915,122.3206,1066,70.3,1.5,82.4,18,100,0,0,10+,Downstream,clear sunny,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,10,,41.16413,-122.29422
Sacramento River,Upper Sacramento River at Simms,UPP-307,Shasta,8/5/2008,2383,41.0641,41.06177,122.3596,122.36143,969,109.6,1.9,66.2,14,100,0,0,10,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",1896,,,
Sacramento River,Upper Sacramento River at Simms,UPP-307,Shasta,8/5/2008,2383,41.0641,41.06177,122.3596,122.36143,969,109.6,1.9,66.2,14,100,0,0,10,Downstream,clear sunny,Catostomidae,Cypriniformes,Catostomus,occidentalis,,Sacramento,"sucker, Sacramento",136,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,8/5/2008,2384,40.9607,40.95917,122.43388,122.43348,631,117.8,4.1,86,19,0,100,0,8+,Downstream,scattered clouds,,,all,,,,Not Listed/Provided/Applicable,8368,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,8/5/2008,2384,40.9607,40.95917,122.43388,122.43348,631,117.8,4.1,86,19,0,100,0,8+,Downstream,scattered clouds,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",1071,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,8/5/2008,2384,40.9607,40.95917,122.43388,122.43348,631,117.8,4.1,86,19,0,100,0,8+,Downstream,scattered clouds,Catostomidae,Cypriniformes,Catostomus,occidentalis,,Sacramento,"sucker, Sacramento",761,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,8/5/2008,2384,40.9607,40.95917,122.43388,122.43348,631,117.8,4.1,86,19,0,100,0,8+,Downstream,scattered clouds,Centrarchidae,Perciformes,Micropterus,spp.,,,"bass, black",8,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,8/5/2008,2384,40.9607,40.95917,122.43388,122.43348,631,117.8,4.1,86,19,0,100,0,8+,Downstream,scattered clouds,Cyprinidae,Cypriniformes,all,spp.,,,minnow,14510,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P1,Shasta,8/5/2008,2384,40.96143,40.96085,122.43727,122.43525,633,82,3.5,86,19,0,100,0,12,Downstream,clear sunny,,,all,,,,Not Listed/Provided/Applicable,3670,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P1,Shasta,8/5/2008,2384,40.96143,40.96085,122.43727,122.43525,633,82,3.5,86,19,0,100,0,12,Downstream,clear sunny,Cyprinidae,Cypriniformes,Ptychocheilus,grandis,,Sacramento,"minnow, pikeminnow, Sacramento",25,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P1,Shasta,8/5/2008,2384,40.96143,40.96085,122.43727,122.43525,633,82,3.5,86,19,0,100,0,12,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",2135,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P1,Shasta,8/5/2008,2384,40.96143,40.96085,122.43727,122.43525,633,82,3.5,86,19,0,100,0,12,Downstream,clear sunny,Centrarchidae,Perciformes,Micropterus,punctulatus,punctulatus,,"bass, spotted",50,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P3,Shasta,8/5/2008,2384,40.95815,40.95692,122.43307,122.43127,712,85.2,2.7,86,19,0,100,0,13,Downstream,cloudy and windy,,,all,,,,Not Listed/Provided/Applicable,1854,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P3,Shasta,8/5/2008,2384,40.95815,40.95692,122.43307,122.43127,712,85.2,2.7,86,19,0,100,0,13,Downstream,cloudy and windy,Cyprinidae,Cypriniformes,Ptychocheilus,grandis,,Sacramento,"minnow, pikeminnow, Sacramento",237,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P3,Shasta,8/5/2008,2384,40.95815,40.95692,122.43307,122.43127,712,85.2,2.7,86,19,0,100,0,13,Downstream,cloudy and windy,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",1083,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P3,Shasta,8/5/2008,2384,40.95815,40.95692,122.43307,122.43127,712,85.2,2.7,86,19,0,100,0,13,Downstream,cloudy and windy,Catostomidae,Cypriniformes,Catostomus,occidentalis,,Sacramento,"sucker, Sacramento",1980,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P3,Shasta,8/5/2008,2384,40.95815,40.95692,122.43307,122.43127,712,85.2,2.7,86,19,0,100,0,13,Downstream,cloudy and windy,Centrarchidae,Perciformes,Micropterus,punctulatus,punctulatus,,"bass, spotted",133,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P3,Shasta,8/5/2008,2384,40.95815,40.95692,122.43307,122.43127,712,85.2,2.7,86,19,0,100,0,13,Downstream,cloudy and windy,Cyprinidae,Cypriniformes,all,spp.,,,minnow,18539,,,
Antelope Creek,Antelope Creek,ANT-197,Siskiyou,8/12/1997,2385,,,,,,,,,12,0,0,0,10+,,clear sunny,,,,,,,,,Fish abundance data unavailable (no section length).,41.59779,-121.90975
Burney Creek,Upper Burney Creek,BUR-195,Shasta,7/25/1995,2386,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-295,Shasta,7/25/1995,2386,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-395,Shasta,7/25/1995,2386,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-495,Shasta,7/25/1995,2386,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-595,Shasta,7/25/1995,2386,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-695,Shasta,7/25/1995,2386,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-795,Shasta,7/25/1995,2386,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Lower Burney Creek,BUR-195,Shasta,7/25/1995,2387,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-295,Shasta,7/25/1995,2387,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-395,Shasta,7/25/1995,2387,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-495,Shasta,7/25/1995,2387,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-595,Shasta,7/25/1995,2387,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-695,Shasta,7/25/1995,2387,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-795,Shasta,7/25/1995,2387,,,,,,,,,8.9,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-195,Shasta,8/7/1996,2388,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-295,Shasta,8/7/1996,2388,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-395,Shasta,8/7/1996,2388,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-495,Shasta,8/7/1996,2388,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-595,Shasta,8/7/1996,2388,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-695,Shasta,8/7/1996,2388,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Lower Burney Creek,BUR-795,Shasta,8/7/1996,2388,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,41.0095997078385,-121.651007986057
Burney Creek,Upper Burney Creek,BUR-195,Shasta,8/6/1996,2389,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-295,Shasta,8/6/1996,2389,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-395,Shasta,8/6/1996,2389,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-495,Shasta,8/6/1996,2389,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-595,Shasta,8/6/1996,2389,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-695,Shasta,8/6/1996,2389,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Burney Creek,Upper Burney Creek,BUR-795,Shasta,8/6/1996,2389,,,,,,,,,,,,,,,,,,,,,,,,Fish abundance data unavailable (no section length).,40.82572,-121.71283
Fall River,Fall River,1,Shasta,7/17/2007,2390,41.1056814,41.1008446,-121.5429186,-121.5270272,6864,129.54,5.33,63,11.1,100,0,0,18,Downstream,scattered clouds,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,,,"trout, rainbow",4634,,41.10509,-121.52124
Fall River,Fall River,1,Shasta,7/17/2007,2390,41.1056814,41.1008446,-121.5429186,-121.5270272,6864,129.54,5.33,63,11.1,100,0,0,18,Downstream,scattered clouds,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,6,,41.10509,-121.52124
Fall River,Fall River,1,Shasta,7/17/2007,2390,41.1056814,41.1008446,-121.5429186,-121.5270272,6864,129.54,5.33,63,11.1,100,0,0,18,Downstream,scattered clouds,Salmonidae,Salmoniformes,Salmo,trutta,,,"trout, brown",40,,41.10509,-121.52124
Fall River,Fall River,2,Shasta,7/17/2007,2390,41.09857,41.09542,-121.50869,-121.51079,3170,164.2,5.95,74,13.9,100,0,0,13,Downstream,scattered clouds,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,,,"trout, rainbow",13851,,41.10509,-121.52124
Fall River,Fall River,2,Shasta,7/17/2007,2390,41.09857,41.09542,-121.50869,-121.51079,3170,164.2,5.95,74,13.9,100,0,0,13,Downstream,scattered clouds,Salmonidae,Salmoniformes,Salmo,trutta,,,"trout, brown",3,,41.10509,-121.52124
Fall River,Fall River,1,Shasta,7/29/2008,2392,41.1056814,41.1008446,-121.5429186,-121.5270272,7392,,,80.6,13,100,0,0,15+,Downstream,clear sunny,Cyprinidae,Cypriniformes,Ptychocheilus,grandis,,Sacramento,"minnow, pikeminnow, Sacramento",18,,41.10509,-121.52124
Fall River,Fall River,1,Shasta,7/29/2008,2392,41.1056814,41.1008446,-121.5429186,-121.5270272,7392,,,80.6,13,100,0,0,15+,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",1921,,41.10509,-121.52124
Fall River,Fall River,1,Shasta,7/29/2008,2392,41.1056814,41.1008446,-121.5429186,-121.5270272,7392,,,80.6,13,100,0,0,15+,Downstream,clear sunny,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,7,,41.10509,-121.52124
Fall River,Fall River,1,Shasta,7/29/2008,2392,41.1056814,41.1008446,-121.5429186,-121.5270272,7392,,,80.6,13,100,0,0,15+,Downstream,clear sunny,Salmonidae,Salmoniformes,all,spp.,,,trout,1,,41.10509,-121.52124
Fall River,Fall River,1,Shasta,7/29/2008,2392,41.1056814,41.1008446,-121.5429186,-121.5270272,7392,,,80.6,13,100,0,0,15+,Downstream,clear sunny,Salmonidae,Salmoniformes,Salmo,trutta,,,"trout, brown",9,,41.10509,-121.52124
Fall River,Fall River,2,Shasta,7/29/2008,2392,41.09857,41.09542,-121.50869,-121.51079,3696,,,81.3,15,100,0,0,10,Downstream,clear sunny,Cyprinidae,Cypriniformes,Ptychocheilus,grandis,,Sacramento,"minnow, pikeminnow, Sacramento",1,,41.10509,-121.52124
Fall River,Fall River,2,Shasta,7/29/2008,2392,41.09857,41.09542,-121.50869,-121.51079,3696,,,81.3,15,100,0,0,10,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",5236,,41.10509,-121.52124
Fall River,Fall River,2,Shasta,7/29/2008,2392,41.09857,41.09542,-121.50869,-121.51079,3696,,,81.3,15,100,0,0,10,Downstream,clear sunny,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,1,,41.10509,-121.52124
Fall River,Fall River,2,Shasta,7/29/2008,2392,41.09857,41.09542,-121.50869,-121.51079,3696,,,81.3,15,100,0,0,10,Downstream,clear sunny,Salmonidae,Salmoniformes,all,spp.,,,trout,3,,41.10509,-121.52124
Fall River,Fall River,3,Shasta,7/30/2008,2393,41.09396,41.04354,-121.48220,-121.47246,,,,,,,,,,,,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",3926,,41.10509,-121.52124
Fall River,Fall River,3,Shasta,7/30/2008,2393,41.09396,41.04354,-121.48220,-121.47246,,,,,,,,,,,,Catostomidae,Cypriniformes,all,spp.,,,sucker,557,,41.10509,-121.52124
Fall River,Fall River,3,Shasta,7/30/2008,2393,41.09396,41.04354,-121.48220,-121.47246,,,,,,,,,,,,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,4,,41.10509,-121.52124
Fall River,Fall River,3,Shasta,7/30/2008,2393,41.09396,41.04354,-121.48220,-121.47246,,,,,,,,,,,,Cyprinidae,Cypriniformes,all,spp.,,,minnow,167,,41.10509,-121.52124
Hat Creek,Hat Creek,1,Shasta,7/16/2007,2394,40.9629,40.97655,-121.54715,-121.55455,8976,137,2.98,76,16.7,100,0,0,3,Downstream,clear sunny,Cyprinidae,Cypriniformes,Ptychocheilus,grandis,,Sacramento,"minnow, pikeminnow, Sacramento",2,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/16/2007,2394,40.9629,40.97655,-121.54715,-121.55455,8976,137,2.98,76,16.7,100,0,0,3,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,,,"trout, rainbow",336,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/16/2007,2394,40.9629,40.97655,-121.54715,-121.55455,8976,137,2.98,76,16.7,100,0,0,3,Downstream,clear sunny,Cyprinidae,Cypriniformes,Rhinichthys,osculus,,,"minnow, dace, speckled",18,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/16/2007,2394,40.9629,40.97655,-121.54715,-121.55455,8976,137,2.98,76,16.7,100,0,0,3,Downstream,clear sunny,Catostomidae,Cypriniformes,all,spp.,,,sucker,1176,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/16/2007,2394,40.9629,40.97655,-121.54715,-121.55455,8976,137,2.98,76,16.7,100,0,0,3,Downstream,clear sunny,Salmonidae,Salmoniformes,all,spp.,,,trout,6,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/16/2007,2394,40.9629,40.97655,-121.54715,-121.55455,8976,137,2.98,76,16.7,100,0,0,3,Downstream,clear sunny,Salmonidae,Salmoniformes,Salmo,trutta,,,"trout, brown",22,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/28/2008,2395,40.9629,40.97655,-121.54715,-121.55455,8448,,,89.6,15.6,100,0,0,6,Downstream,clear sunny,Cottidae,Scorpaeniformes,Cottus,asperrimus,,,"sculpin, rough",4,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/28/2008,2395,40.9629,40.97655,-121.54715,-121.55455,8448,,,89.6,15.6,100,0,0,6,Downstream,clear sunny,Cyprinidae,Cypriniformes,Ptychocheilus,grandis,,Sacramento,"minnow, pikeminnow, Sacramento",13,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/28/2008,2395,40.9629,40.97655,-121.54715,-121.55455,8448,,,89.6,15.6,100,0,0,6,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,,,"trout, rainbow",1769,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/28/2008,2395,40.9629,40.97655,-121.54715,-121.55455,8448,,,89.6,15.6,100,0,0,6,Downstream,clear sunny,Catostomidae,Cypriniformes,Catostomus,occidentalis,,Sacramento,"sucker, Sacramento",1641,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/28/2008,2395,40.9629,40.97655,-121.54715,-121.55455,8448,,,89.6,15.6,100,0,0,6,Downstream,clear sunny,Cyprinidae,Cypriniformes,Rhinichthys,osculus,,,"minnow, dace, speckled",29,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/28/2008,2395,40.9629,40.97655,-121.54715,-121.55455,8448,,,89.6,15.6,100,0,0,6,Downstream,clear sunny,Salmonidae,Salmoniformes,all,spp.,,,trout,24,,40.96905,-121.55508
Hat Creek,Hat Creek,1,Shasta,7/28/2008,2395,40.9629,40.97655,-121.54715,-121.55455,8448,,,89.6,15.6,100,0,0,6,Downstream,clear sunny,Salmonidae,Salmoniformes,Salmo,trutta,,,"trout, brown",29,,40.96905,-121.55508
Sacramento River,Upper Sacramento River at Dunsmuir City Park,UPP-107,Shasta,7/10/2007,2396,41.1748833,41.174033,122.2877,122.293665,1096,95.6,1.36,73,11.7,100,0,0,10+,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",2809,,41.225723,-122.27709
Sacramento River,Upper Sacramento River at Dunsmuir City Park,UPP-107,Shasta,7/10/2007,2396,41.1748833,41.174033,122.2877,122.293665,1096,95.6,1.36,73,11.7,100,0,0,10+,Downstream,clear sunny,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,5,,41.225723,-122.27709
Sacramento River,Upper Sacramento River at Dunsmuir City Park,UPP-107L,Shasta,7/10/2007,2396,41.1748,44.1720.33,-122.292717,122.29635,179,53.8,3.2,73,11.7,100,0,0,,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",13185,,41.225723,-122.27709
Sacramento River,Upper Sacramento River at State Park,UPP-207L,Shasta,7/10/2007,2397,41.13435,41.13373,122.32043,122.31963,215,70.74,2.21,94,18.9,100,0,0,4+,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,,,"trout, rainbow",16994,,41.16413,-122.29422
Sacramento River,Upper Sacramento River at State Park,UPP-207L,Shasta,7/10/2007,2397,41.13435,41.13373,122.32043,122.31963,215,70.74,2.21,94,18.9,100,0,0,4+,Downstream,clear sunny,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,196,,41.16413,-122.29422
Sacramento River,Upper Sacramento River at State Park,UPP-207U,Shasta,7/10/2007,2397,41.13722,41.13472,122.31915,122.3206,645.5,67.08,1.78,94,18.9,100,0,0,4+,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,,,"trout, rainbow",21633,,41.16413,-122.29422
Sacramento River,Upper Sacramento River at State Park,UPP-207U,Shasta,7/10/2007,2397,41.13722,41.13472,122.31915,122.3206,645.5,67.08,1.78,94,18.9,100,0,0,4+,Downstream,clear sunny,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,8,,41.16413,-122.29422
Sacramento River,Upper Sacramento River at Simms,UPP-307,Shasta,7/11/2007,2398,41.0641,41.06177,122.3596,122.36143,969,108.24,2,71,16.7,100,0,0,4,Downstream,overcast,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,,,"trout, rainbow",8368,,,
Sacramento River,Upper Sacramento River at Simms,UPP-307,Shasta,7/11/2007,2398,41.0641,41.06177,122.3596,122.36143,969,108.24,2,71,16.7,100,0,0,4,Downstream,overcast,Catostomidae,Cypriniformes,all,spp.,,,sucker,99,,,
Sacramento River,Upper Sacramento River at Simms,UPP-307,Shasta,7/11/2007,2398,41.0641,41.06177,122.3596,122.36143,969,108.24,2,71,16.7,100,0,0,4,Downstream,overcast,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,8,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,7/11/2007,2399,40.9607,40.95917,122.43388,122.43348,590,142.2,4.3,82,22.8,0,100,0,4+,Downstream,overcast,Cyprinidae,Cypriniformes,Ptychocheilus,grandis,,Sacramento,"minnow, pikeminnow, Sacramento",54,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,7/11/2007,2399,40.9607,40.95917,122.43388,122.43348,590,142.2,4.3,82,22.8,0,100,0,4+,Downstream,overcast,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,,,"trout, rainbow",1307,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,7/11/2007,2399,40.9607,40.95917,122.43388,122.43348,590,142.2,4.3,82,22.8,0,100,0,4+,Downstream,overcast,Centrarchidae,Perciformes,Micropterus,salmoides,,,"bass, largemouth",45,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,7/11/2007,2399,40.9607,40.95917,122.43388,122.43348,590,142.2,4.3,82,22.8,0,100,0,4+,Downstream,overcast,Catostomidae,Cypriniformes,all,spp.,,,sucker,35797,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P,Shasta,7/11/2007,2399,40.9607,40.95917,122.43388,122.43348,590,142.2,4.3,82,22.8,0,100,0,4+,Downstream,overcast,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,18,,,
Sacramento River,Upper Sacramento River at McCardle,UPP-407P1,Shasta,7/11/2007,2399,40.96143,40.96085,122.43727,122.43525,593,78,4.3,82,22.8,0,100,0,10+,Downstream,cloudy and windy,Cyprinidae,Cypriniformes,Ptychocheilus,grandis,,Sacramento,"minnow, pikeminnow, Sacramento",80,,,
